"Símbolo","Direção de abertura","Hora de fecho (UTC+0)","Preço de entrada","Preço de fecho","Quantidade de Fecho","$ líquidos","Saldo $"
"US 100","Buy","26/08/2025 13:34:08.203","23413.98","23450.41","1.00 Lotes","36.43","5 036.43"
"US 100","Buy","26/08/2025 13:46:52.261","23447.38","23407.63","1.00 Lotes","-39.75","4 996.68"
"US 100","Buy","26/08/2025 13:48:57.955","23398.51","23387.38","1.00 Lotes","-11.13","4 985.55"
"US 100","Buy","26/08/2025 15:05:31.587","23408.63","23471.38","1.00 Lotes","62.75","5 048.30"
"US 500","Buy","27/08/2025 08:35:07.310","6469.75","6467.05","8.00 Lotes","-21.60","5 026.70"
"USDCAD","Sell","27/08/2025 12:35:34.231","1.38493","1.38488","1.00 Lotes","0.61","5 027.31"
"USDCAD","Sell","27/08/2025 13:13:39.571","1.38516","1.38516","0.50 Lotes","-1.50","5 025.81"
"USDCAD","Sell","27/08/2025 13:42:44.760","1.38483","1.38533","0.50 Lotes","-19.55","5 006.26"
"EURUSD","Buy","27/08/2025 16:16:23.844","1.15874","1.16133","0.40 Lotes","102.40","5 108.66"
"USDCAD","Sell","27/08/2025 18:35:18.679","1.37923","1.37916","1.00 Lotes","2.08","5 110.74"
"GERMANY 40","Buy","28/08/2025 08:07:12.285","24161.76","24172.83","0.50 Lotes","6.44","5 117.18"
"XAUUSD","Buy","28/08/2025 10:03:13.280","3400.25","3396.86","0.10 Lotes","-34.20","5 082.98"
"EURAUD","Buy","28/08/2025 12:55:39.491","1.78723","1.78767","0.30 Lotes","7.72","5 090.70"
"US 100","Buy","28/08/2025 13:40:04.521","23665.88","23668.88","1.00 Lotes","3.00","5 093.70"
"XAUUSD","Buy","29/08/2025 08:14:38.395","3412.68","3413.64","0.10 Lotes","9.30","5 104.76"
"XAUUSD","Buy","29/08/2025 08:14:38.362","3413.03","3413.65","0.03 Lotes","1.76","5 095.46"
"XAUUSD","Buy","29/08/2025 08:14:38.399","3412.72","3413.64","0.10 Lotes","8.90","5 113.66"
"XAUUSD","Buy","29/08/2025 10:03:55.119","3411.16","3406.42","0.10 Lotes","-47.70","5 065.96"
"GERMANY 40","Sell","29/08/2025 12:26:36.176","23986.73","23982.66","0.50 Lotes","2.37","5 068.33"
"USDCHF","Sell","29/08/2025 15:16:49.931","0.80218","0.79976","0.20 Lotes","59.92","5 128.25"
"GBPUSD","Buy","01/09/2025 10:52:29.019","1.35315","1.35233","0.60 Lotes","-51.00","5 077.25"
"EURJPY","Sell","01/09/2025 13:47:51.005","172.368","172.398","0.40 Lotes","-9.35","5 067.90"
"EURJPY","Sell","01/09/2025 19:59:30.392","172.398","172.396","0.70 Lotes","-1.15","5 066.75"
"GERMANY 40","Buy","02/09/2025 13:46:35.123","23557.96","23646.43","0.50 Lotes","51.51","5 118.26"
"GERMANY 40","Buy","02/09/2025 14:03:19.496","23557.96","23651.93","0.50 Lotes","54.80","5 173.06"
"GERMANY 40","Buy","02/09/2025 14:23:36.926","23645.96","23646.43","1.00 Lotes","0.55","5 173.61"
"XAUUSD","Buy","02/09/2025 15:10:58.323","3512.00","3514.05","0.05 Lotes","10.09","5 183.70"
"EURCAD","Buy","02/09/2025 19:02:20.429","1.60714","1.60364","0.30 Lotes","-77.06","5 106.64"
"GERMANY 40","Buy","03/09/2025 17:45:20.818","23590.66","23544.63","1.00 Lotes","-53.70","5 052.94"
"XAUUSD","Sell","04/09/2025 10:06:04.426","3539.16","3541.59","0.20 Lotes","-49.20","5 003.74"
"XAUUSD","Sell","04/09/2025 11:37:36.820","3538.44","3542.93","0.10 Lotes","-45.20","4 958.54"
"EURGBP","Buy","04/09/2025 15:07:50.540","0.86705","0.86615","0.20 Lotes","-24.77","4 933.77"
"XAUUSD","Buy","05/09/2025 08:56:40.996","3548.71","3545.13","0.10 Lotes","-36.10","4 897.67"
"XAUUSD","Buy","05/09/2025 09:14:04.962","3550.02","3549.45","0.05 Lotes","-3.01","4 894.66"
"US 100","Buy","05/09/2025 20:40:18.439","23642.58","23647.18","3.00 Lotes","13.80","4 908.46"
"GBPUSD","Sell","08/09/2025 12:30:57.375","1.35299","1.35358","0.60 Lotes","-37.20","4 871.26"
"EURGBP","Buy","08/09/2025 13:58:58.693","0.86674","0.86761","0.50 Lotes","57.42","4 928.68"
"USDJPY","Sell","08/09/2025 19:25:28.847","147.716","147.419","0.20 Lotes","39.69","4 968.37"
"EURGBP","Buy","08/09/2025 19:28:05.814","0.86676","0.86802","0.50 Lotes","83.87","5 052.24"
"EURUSD","Buy","09/09/2025 07:44:14.941","1.17648","1.17558","0.40 Lotes","-37.20","5 015.04"
"USDCAD","Sell","09/09/2025 10:34:45.146","1.38063","1.38035","0.60 Lotes","10.37","5 028.86"
"USDCAD","Sell","09/09/2025 10:34:45.137","1.38055","1.38035","0.30 Lotes","3.45","5 018.49"
"EURGBP","Buy","09/09/2025 11:26:19.248","0.86589","0.86573","0.50 Lotes","-12.36","5 016.50"
"EURGBP","Buy","09/09/2025 12:23:38.791","0.86582","0.86591","0.70 Lotes","6.44","5 022.94"
"USDJPY","Sell","09/09/2025 14:03:19.890","146.832","147.024","0.30 Lotes","-40.08","4 982.86"
"EURGBP","Buy","10/09/2025 10:58:05.294","0.86485","0.86413","0.60 Lotes","-60.30","4 922.56"
