Símbolo,Lado,Tipo,Qtde,Qtd. Preenchida,Preço limite,Preço de Stop,Preço médio,Status,Tempo de atualização,Position ID,Commission,Closed P&L,Net Closed P&L,ID da ordem
USDJPY,Vender,Stop Loss,7,7,,148.412,148.41,Executado,2025-07-28 12:20:50,USDJPY:24378820,-24.5,1221.96,,24378849
USDJPY,Comprar,Mercado,7,7,,,148.151,Executado,2025-07-28 11:47:41,USDJPY:24378820,-24.5,,,24378820
USDJPY,Comprar,Mercado,8,0,,,,Rejeitado,2025-07-28 11:47:37,,0.0,,,24378807
USDJPY,Vender,Stop Loss,9.61,0,,148.077,,Rejeitado,2025-07-28 11:47:29,,0.0,,,24378770
USDJPY,Vender,Realização de Lucro,9.61,0,148.388,,,Rejeitado,2025-07-28 11:47:29,,0.0,,,24378769
USDJPY,Comprar,Mercado,9.61,0,,,,Rejeitado,2025-07-28 11:47:29,,0.0,,,24378768
USDJPY,Vender,Stop Loss,8,8,,148.104,148.103,Executado,2025-07-28 11:40:41,USDJPY:24376546,-28.0,-416.42,,24376615
USDJPY,Comprar,Mercado,8,8,,,148.18,Executado,2025-07-28 11:40:34,USDJPY:24376546,-28.0,,,24376546
USDJPY,Vender,Stop Loss,9.86,0,,148.105,,Rejeitado,2025-07-28 11:40:18,,0.0,,,24376501
USDJPY,Vender,Realização de Lucro,9.86,0,148.428,,,Rejeitado,2025-07-28 11:40:18,,0.0,,,24376500
USDJPY,Comprar,Mercado,9.86,0,,,,Rejeitado,2025-07-28 11:40:18,,0.0,,,24376499
USDJPY,Vender,Mercado,7.71,7.71,,,148.179,Executado,2025-07-28 11:40:09,USDJPY:24375771,-26.99,-119.7,,24376477
USDJPY,Vender,Stop Loss,7.71,0,,148.105,,Cancelado,2025-07-28 11:40:09,USDJPY:24375771,0.0,,,24375773
USDJPY,Vender,Realização de Lucro,7.71,0,148.428,,,Cancelado,2025-07-28 11:40:09,USDJPY:24375771,0.0,,,24375772
USDJPY,Comprar,Mercado,7.71,7.71,,,148.202,Executado,2025-07-28 11:37:48,USDJPY:24375771,-26.99,,,24375771
USDJPY,Comprar,Mercado,10,10,,,146.549,Executado,2025-07-22 23:13:52,USDJPY:23263292,-35.0,-184.41,,23263347
USDJPY,Comprar,Realização de Lucro,10,0,146.264,,,Cancelado,2025-07-22 23:13:52,USDJPY:23263292,0.0,,,23263340
USDJPY,Vender,Mercado,10,0,,,,Rejeitado,2025-07-22 23:13:16,,0.0,,,23263305
USDJPY,Vender,Mercado,10,10,,,146.522,Executado,2025-07-22 23:13:07,USDJPY:23263292,-35.0,,,23263292
USDJPY,Vender,Mercado,20,0,,,,Rejeitado,2025-07-22 23:13:02,,0.0,,,23263290
USDJPY,Vender,Mercado,30,0,,,,Rejeitado,2025-07-22 23:12:55,,0.0,,,23263280
USDJPY,Vender,Mercado,50,0,,,,Rejeitado,2025-07-22 23:12:50,,0.0,,,23263259
USDJPY,Vender,Mercado,10,10,,,146.521,Executado,2025-07-22 23:11:02,USDJPY:23262679,-35.0,225.39,,23262960
USDJPY,Vender,Realização de Lucro,10,0,146.636,,,Cancelado,2025-07-22 23:11:02,USDJPY:23262679,0.0,,,23262694
USDJPY,Comprar,Mercado,10,10,,,146.488,Executado,2025-07-22 23:09:30,USDJPY:23262679,-35.0,,,23262679
USDJPY,Comprar,Mercado,100,0,,,,Rejeitado,2025-07-22 23:09:23,,0.0,,,23262677
BTCUSD,Comprar,Mercado,0.01,0.01,,,119373.75,Executado,2025-07-22 16:52:06,BTCUSD:23201674,0.0,-0.79,,23201975
BTCUSD,Comprar,Stop Loss,0.01,0,,120340.89,,Cancelado,2025-07-22 16:52:06,BTCUSD:23201674,0.0,,,23201676
BTCUSD,Comprar,Realização de Lucro,0.01,0,117652.11,,,Cancelado,2025-07-22 16:52:06,BTCUSD:23201674,0.0,,,23201675
BTCUSD,Vender,Mercado,0.01,0.01,,,119295.25,Executado,2025-07-22 16:50:27,BTCUSD:23201674,0.0,,,23201674
SOYBEANS,Comprar,Mercado,1,0,,,,Rejeitado,2025-07-22 16:49:43,,0.0,,,23201527
SOYBEANS,Comprar,Mercado,1,0,,,,Rejeitado,2025-07-22 16:49:33,,0.0,,,23201496
SOYBEANS,Vender,Stop Loss,1,0,,1025.9,,Cancelado,2025-07-22 16:49:31,,0.0,,,23201451
SOYBEANS,Vender,Realização de Lucro,1,0,1030.5,,,Cancelado,2025-07-22 16:49:31,,0.0,,,23201450
SOYBEANS,Comprar,Limite,1,0,1027.2,,,Cancelado,2025-07-22 16:49:31,,0.0,,,23201449
JP225,Vender,Mercado,10,10,,,39628.9,Executado,2025-07-22 16:48:18,JP225:23201067,0.0,-0.16,,23201213
JP225,Vender,Realização de Lucro,10,0,39644.25,,,Cancelado,2025-07-22 16:48:19,JP225:23201067,0.0,,,23201097
JP225,Vender,Stop Loss,10,0,,39620.31,,Cancelado,2025-07-22 16:48:19,JP225:23201067,0.0,,,23201084
JP225,Comprar,Mercado,10,10,,,39631.1,Executado,2025-07-22 16:48:07,JP225:23201067,0.0,,,23201067
JP225,Vender,Mercado,10,10,,,39628.9,Executado,2025-07-22 16:46:59,JP225:23200690,0.0,-0.02,,23200695
JP225,Comprar,Mercado,10,10,,,39629.1,Executado,2025-07-22 16:46:42,JP225:23200690,0.0,,,23200690
US500,Vender,Mercado,0.08,0.08,,,6320.98,Executado,2025-07-22 16:46:01,US500:23200595,0.0,-0.01,,23200674
US500,Vender,Stop Loss,0.08,0,,6310.03,,Cancelado,2025-07-22 16:46:01,US500:23200595,0.0,,,23200597
US500,Vender,Realização de Lucro,0.08,0,6343.22,,,Cancelado,2025-07-22 16:46:01,US500:23200595,0.0,,,23200596
US500,Comprar,Mercado,0.08,0.08,,,6321.02,Executado,2025-07-22 16:44:55,US500:23200595,0.0,,,23200595
XAUUSD,Vender,Mercado,0.01,0.01,,,3431.54,Executado,2025-07-22 16:41:45,XAUUSD:23199779,-0.04,-0.51,,23200112
XAUUSD,Vender,Stop Loss,0.01,0,,3431.06,,Cancelado,2025-07-22 16:41:45,XAUUSD:23199779,0.0,,,23199781
XAUUSD,Vender,Realização de Lucro,0.01,0,3434.15,,,Cancelado,2025-07-22 16:41:45,XAUUSD:23199779,0.0,,,23199780
